Date,Open,High,Low,Close,Adj Close,Volume
2020-01-15,77.195885,78.972015,77.195885,78.426613,78.426613,2635955
2020-01-16,78.794975,79.374641,78.526558,79.094803,79.094803,2363150
2020-01-17,79.625931,79.625931,78.138206,78.726440,78.726440,3211684
2020-01-21,78.358078,78.706451,77.487152,77.809822,77.809822,6599869
2020-01-22,78.435181,78.589378,77.430038,77.621361,77.621361,4138664
2020-01-23,77.567108,78.178185,76.873215,77.064537,77.064537,2102951
2020-01-24,77.484299,77.672760,75.085663,75.202744,75.202744,2264043
2020-01-27,73.606514,74.414619,72.958313,74.066246,74.066246,3105924
2020-01-28,74.534554,74.685890,73.823532,73.992004,73.992004,2290658
2020-01-29,74.134781,74.134781,71.964592,72.053116,72.053116,2856932
2020-01-30,71.450600,71.938889,70.948029,71.656197,71.656197,3202579
2020-01-31,71.322105,71.362076,69.314674,69.557396,69.557396,3173512
2020-02-03,69.754425,71.033691,69.754425,70.859512,70.859512,4564507
2020-02-04,71.673332,72.766991,70.945175,72.535690,72.535690,3367873
2020-02-05,71.173615,71.173615,67.709877,68.112511,68.112511,6162119
2020-02-06,67.678467,71.250717,66.933182,69.802971,69.802971,6004179
2020-02-07,69.209023,70.065674,68.443748,68.723587,68.723587,3471883
2020-02-10,68.418045,68.837807,67.287262,67.490005,67.490005,2417781
2020-02-11,67.327240,68.103943,66.559113,66.679039,66.679039,2838721
2020-02-12,67.087379,67.704170,66.070816,67.532837,67.532837,2342138
2020-02-13,66.519135,67.932610,65.888062,67.250145,67.250145,3093317
2020-02-14,67.327240,68.323814,66.970306,67.946884,67.946884,4061970
2020-02-18,67.812675,68.369499,67.252998,67.684181,67.684181,3301335
2020-02-19,67.995430,68.663620,67.255852,67.447174,67.447174,2130967
2020-02-20,67.441460,67.821243,65.685326,66.693321,66.693321,3634726
2020-02-21,66.296402,66.699028,64.937180,65.159912,65.159912,2439143
2020-02-24,63.260994,63.829239,62.178757,63.269562,63.269562,2960941
2020-02-25,63.269562,63.680756,60.685322,60.819530,60.819530,3292230
2020-02-26,60.933750,62.247288,59.226154,59.737293,59.737293,3271568
2020-02-27,58.429470,58.994862,57.150200,57.744144,57.744144,5082102
2020-02-28,56.462021,58.343803,56.202171,58.235294,58.235294,4039557
2020-03-02,58.375214,60.262707,57.401485,60.011421,60.011421,3234797
2020-03-03,60.011421,60.339806,56.633350,58.012566,58.012566,4603729
2020-03-04,58.572243,59.431751,57.541405,59.126213,59.126213,3141994
2020-03-05,57.815533,58.649342,57.024555,57.527126,57.527126,2599184
2020-03-06,56.479156,56.956024,55.108509,56.584808,56.584808,3712120
2020-03-09,52.989719,55.365505,51.918903,54.037693,54.037693,3983525
2020-03-10,55.034267,56.830383,54.263279,56.442032,56.442032,4889843
2020-03-11,54.920048,55.356937,52.738434,53.706451,53.706451,4468902
2020-03-12,50.862366,51.564819,47.184467,47.384354,47.384354,5412691
2020-03-13,49.691605,50.148487,45.188465,48.829239,48.829239,6535432
2020-03-16,42.458595,45.091377,41.967445,42.761280,42.761280,6468544
2020-03-17,43.326672,45.042831,40.890919,44.714451,44.714451,5272261
2020-03-18,41.981724,43.175327,36.359222,39.782982,39.782982,5830480
2020-03-19,39.577385,40.770988,37.461452,39.922901,39.922901,12171901
2020-03-20,41.090805,41.293549,36.873215,37.335808,37.335808,8697567
2020-03-23,37.081669,38.452312,35.579670,37.689892,37.689892,5991572
2020-03-24,39.697315,45.970875,39.568817,45.548260,45.548260,6650298
2020-03-25,45.913765,51.990292,45.708168,50.465446,50.465446,7139177
2020-03-26,51.039406,55.256996,50.445461,51.467731,51.467731,5700906
2020-03-27,48.695030,52.061680,48.695030,50.705311,50.705311,4799141
2020-03-30,50.708168,52.370075,50.431183,51.402058,51.402058,2327429
2020-03-31,51.225014,53.275272,50.631069,51.179325,51.179325,3234447
